eventHyperlink,eventLink,location 
http://ufcstats.com/event-details/6546af7ab545b90c,"UFC Fight Night: Blachowicz vs. SantosFebruary 23, 2019","Prague, Czech Republic"
http://ufcstats.com/event-details/a7a79b8efbceaaac,"UFC Fight Night: Ngannou vs. VelasquezFebruary 17, 2019","Phoenix, Arizona, USA"
http://ufcstats.com/event-details/b5882371e2a3900d,"UFC 234: Adesanya vs. SilvaFebruary 09, 2019","Melbourne, Victoria, Australia"
http://ufcstats.com/event-details/84283233ec42be5f,"UFC Fight Night: Assuncao vs. Moraes 2February 02, 2019","Fortaleza, Ceara, Brazil"
http://ufcstats.com/event-details/d4da8995fc91e7ef,"UFC Fight Night: Cejudo vs. DillashawJanuary 19, 2019","Brooklyn, New York, USA"
http://ufcstats.com/event-details/c046100aea0dba9a,"UFC 232: Jones vs. Gustafsson 2December 29, 2018","Los Angeles, California, USA"
http://ufcstats.com/event-details/7a703c565ccaa18f,"UFC Fight Night: Lee vs. IaquintaDecember 15, 2018","Milwaukee, Wisconsin, USA"
http://ufcstats.com/event-details/2a74bbba57058f12,"UFC 231: Holloway vs. OrtegaDecember 08, 2018","Toronto, Ontario, Canada"
http://ufcstats.com/event-details/d1d20e651e6cbc02,"UFC Fight Night: Dos Santos vs. TuivasaDecember 01, 2018","Adelaide, South Australia, Australia"
http://ufcstats.com/event-details/c7ac79839e86ce33,"The Ultimate Fighter: Heavy Hitters FinaleNovember 30, 2018","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/de25520d54eab12d,"UFC Fight Night: Blaydes vs. Ngannou 2November 24, 2018","Beijing, China"
http://ufcstats.com/event-details/aa3153a9941b4d44,"UFC Fight Night: Magny vs. PonzinibbioNovember 17, 2018","Buenos Aires, Buenos Aires, Argentina"
http://ufcstats.com/event-details/42c96a9c4802e2e1,"UFC Fight Night: Korean Zombie vs. RodriguezNovember 10, 2018","Denver, Colorado, USA"
http://ufcstats.com/event-details/20821819c401ced8,"UFC 230: Cormier vs. LewisNovember 03, 2018","New York City, New York, USA"
http://ufcstats.com/event-details/33a331684283900f,"UFC Fight Night: Oezdemir vs. SmithOctober 27, 2018","Moncton, New Brunswick, Canada"
http://ufcstats.com/event-details/1ef0eae31904e534,"UFC 229: Khabib vs. McGregorOctober 06, 2018","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/852454c572675334,"UFC Fight Night: Marreta vs. AndersSeptember 22, 2018","Sao Paulo, Sao Paulo, Brazil"
http://ufcstats.com/event-details/8d49545dadf9b919,"UFC Fight Night: Hunt vs. OleinikSeptember 15, 2018","Moscow, Moscow, Russia"
http://ufcstats.com/event-details/d5ae8074631762fc,"UFC 228: Woodley vs. TillSeptember 08, 2018","Dallas, Texas, USA"
http://ufcstats.com/event-details/c0342805a1948cbb,"UFC Fight Night: Gaethje vs. VickAugust 25, 2018","Lincoln, Nebraska, USA"
http://ufcstats.com/event-details/03b1e846b09f721d,"UFC 227: Dillashaw vs. Garbrandt 2August 04, 2018","Los Angeles, California, USA"
http://ufcstats.com/event-details/322a56923b396b4d,"UFC Fight Night: Alvarez vs. Poirier 2July 28, 2018","Calgary, Alberta, Canada"
http://ufcstats.com/event-details/4f732e58ed907eff,"UFC Fight Night: Shogun vs. SmithJuly 22, 2018","Hamburg, Hamburg, Germany"
http://ufcstats.com/event-details/b45d6b73f4ca4467,"UFC Fight Night: Dos Santos vs. IvanovJuly 14, 2018","Boise, Idaho, USA"
http://ufcstats.com/event-details/35585d970300d45a,"UFC 226: Miocic vs. CormierJuly 07, 2018","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/8215e4fe24e8e81b,"The Ultimate Fighter: Undefeated FinaleJuly 06, 2018","Las Vegas, Nevada, USA"
http://ufcstats.com/event-details/ac5f67109accb482,"UFC Fight Night: Cowboy vs. EdwardsJune 23, 2018","Kallang, Singapore"
http://ufcstats.com/event-details/2eae41f61776c60f,"UFC 225: Whittaker vs. Romero 2June 09, 2018","Chicago, Illinois, USA"
